region,EMD_CD_2,EMD_CD,total,house,transformation,city_income,starbucks
금곡동 ,4159013900,41590139,869,464,30,467.4,2
기산동 ,4159011900,41590119,"14,819","5,427",722,467.4,1
기안동 ,4159012400,41590124,"15,403","5,809",605,467.4,1
남양읍 ,4159026200,41590262,"59,736","29,630",3500,467.4,2
능동 ,4159011800,41590118,"48,895","20,550",2407,467.4,1
마도면 ,4159033000,41590330,"6,652",3971,741,467.4,1
매송면 ,4159031000,41590310,"6,496",3432,1169,467.4,0
목동 ,4159013400,41590134,"32,211","11,215",1698,467.4,1
반송동 ,4159012700,41590127,"70,091","26,809",6031,467.4,5
반월동 ,4159012000,41590120,"37,135","13,185",2469,467.4,2
반정동 ,4159012100,41590121,"7,184","2,594",183,467.4,0
방교동 ,4159013800,41590138,"1,500",999,68,467.4,1
배양동 ,4159012300,41590123,521,267,16,467.4,0
병점동 ,4159011700,41590117,"58,838","24,646",3304,467.4,0
봉담읍 ,4159025300,41590253,"106,017","44,652",7472,467.4,1
비봉면 ,4159032000,41590320,"7,709","4,652",573,467.4,0
산척동 ,4159013500,41590135,"43,270","17,236",2594,467.4,0
새솔동 ,4159014000,41590140,"26,890","8,967",788,467.4,1
서신면 ,4159035000,41590350,7182,4098,584,467.4,0
석우동 ,4159012800,41590128,"14,234","5,684",1534,467.4,1
송동 ,4159013700,41590137,"13,408","5,046",392,467.4,2
송산동 ,4159012500,41590125,"8,257","3,730",332,467.4,0
송산면 ,4159034000,41590340,"10,627","5,654",667,467.4,0
신동 ,4159013300,41590133,"12,811","6,216",220,467.4,1
안녕동 ,4159012600,41590126,"18,908","8,901",1355,467.4,1
양감면 ,4159040000,41590400,3893,2389,519,467.4,0
영천동 ,4159013100,41590131,"46,515","21,009",3150,467.4,4
오산동 ,4159012900,41590129,"41,693","17,715",5555,467.4,5
우정읍 ,4159025600,41590256,17097,9311,771,467.4,0
장안면 ,4159037000,41590370,"9,650",5446,1282,467.4,0
장지동 ,4159013600,41590136,"37,092","13,697",1239,467.4,0
정남면 ,4159041000,41590410,"10,695","6,057",861,467.4,0
중동 ,4159013200,41590132,228,127,14,467.4,0
진안동 ,4159011600,41590116,"19,497","12,299",7077,467.4,1
청계동 ,4159013000,41590130,"53,373","16,828",2595,467.4,1
팔탄면 ,4159036000,41590360,9481,5980,1438,467.4,0
향남읍 ,4159025900,41590259,"85,616",40443,5497,467.4,4
황계동 ,4159012200,41590122,541,294,2,467.4,0
가수동 ,4137012100,41370121,"4,894","2,412",335,398.2,0
가장동 ,4137010600,41370106,480,363,72,398.2,0
갈곶동 ,4137012400,41370124,"13,087","5,603",1889,398.2,1
고현동 ,4137012200,41370122,"4,726","2,425",633,398.2,0
궐동 ,4137010400,41370104,"23,441","13,476",2672,398.2,0
금암동 ,4137010700,41370107,"21,690","8,613",2532,398.2,1
내삼미동 ,4137011000,41370110,"12,326","5,362",548,398.2,0
누읍동 ,4137012000,41370120,"5,883","2,829",1121,398.2,0
두곡동 ,4137011800,41370118,193,107,134,398.2,0
벌음동 ,4137011700,41370117,173,118,70,398.2,0
부산동 ,4137010200,41370102,"19,701","7,576",1375,398.2,1
서동 ,4137011600,41370116,"7,357","3,258",467,398.2,0
서랑동 ,4137011500,41370115,222,115,6,398.2,0
세교동 ,4137011300,41370113,"8,246","3,891",2525,398.2,0
수청동 ,4137010800,41370108,"16,159","7,264",4069,398.2,1
양산동 ,4137011200,41370112,"9,644","3,942",1201,398.2,0
오산동 ,4137010100,41370101,"18,078","9,226",7861,398.2,0
외삼미동 ,4137011100,41370111,"7,764","3,090",1378,398.2,2
원동 ,4137010300,41370103,"43,971","19,669",3978,398.2,3
은계동 ,4137010900,41370109,"4,417","2,285",200,398.2,0
지곶동 ,4137011400,41370114,"5,681","2,284",435,398.2,0
청학동 ,4137010500,41370105,"3,091","2,203",427,398.2,0
청호동 ,4137012300,41370123,"7,180","3,033",381,398.2,0
고등동 ,4111513700,41115137,"19,218","9,011",2220,434.35,0
고색동 ,4111312800,41113128,"15,194","6,896",4198,434.35,1
곡반정동 ,4111313600,41113136,"23,750","13,171",1790,434.35,0
교동 ,4111513200,41115132,"1,808","1,032",1518,434.35,0
구운동 ,4111313200,41113132,"22,760","10,595",3344,434.35,0
구천동 ,4111512600,41115126,"1,264","1,043",375,434.35,0
권선동 ,4111313700,41113137,"80,663","35,552",13696,434.35,2
금곡동 ,4111313400,41113134,"44,749","18,562",5991,434.35,0
남수동 ,4111512700,41115127,"1,031",584,223,434.35,0
당수동 ,4111314100,41113141,"12,379","5,388",1486,434.35,0
대황교동 ,4111313900,41113139,29,23,328,434.35,0
망포동 ,4111710700,41117107,"66,552","24,241",5329,434.35,2
매교동 ,4111513300,41115133,"19,827","8,363",4790,434.35,0
매산로1가 ,4111513400,41115134,948,802,18898,434.35,2
매산로2가 ,4111513500,41115135,"5,841","3,382",1119,434.35,0
매산로3가 ,4111513600,41115136,"3,062","1,775",47,434.35,0
매탄동 ,4111710100,41117101,"79,196","36,656",9496,434.35,1
매향동 ,4111512800,41115128,"1,305",665,329,434.35,0
북수동 ,4111512900,41115129,"1,097",686,581,434.35,0
상광교동 ,4111113800,41111138,207,99,134,434.35,0
서둔동 ,4111313100,41113131,"17,563","8,904",3306,434.35,1
세류동 ,4111312600,41113126,"49,460","25,733",6402,434.35,2
송죽동 ,4111113500,41111135,"18,184","8,772",2870,434.35,1
신동 ,4111710600,41117106,"7,994","4,696",377,434.35,0
신풍동 ,4111513000,41115130,"1,343",837,433,434.35,1
연무동 ,4111113700,41111137,"16,591","9,040",2120,434.35,1
영동 ,4111512400,41115124,159,86,379,434.35,0
영통동 ,4111710500,41117105,"80,068","33,866",25257,434.35,4
영화동 ,4111113400,41111134,"18,079","10,238",5580,434.35,0
오목천동 ,4111312900,41113129,"22,879","9,322",4039,434.35,1
우만동 ,4111514000,41115140,"34,967","18,495",6580,434.35,2
원천동 ,4111710200,41117102,"45,630","21,220",8046,434.35,1
율전동 ,4111113200,41111132,"26,931","13,854",10080,434.35,1
이목동 ,4111113100,41111131,"6,223","2,253",1345,434.35,0
이의동 ,4111710300,41117103,"53,374","23,061",14437,434.35,4
인계동 ,4111514100,41115141,"44,996","24,525",12894,434.35,6
입북동 ,4111314000,41113140,"7,320","2,886",833,434.35,0
장안동 ,4111513100,41115131,640,377,543,434.35,0
장지동 ,4111313800,41113138,133,79,2070,434.35,1
정자동 ,4111113000,41111130,"94,689","37,060",11548,434.35,3
조원동 ,4111113600,41111136,"45,496","19,818",6336,434.35,1
중동 ,4111512500,41115125,481,405,107,434.35,0
지동 ,4111513900,41115139,"9,509","5,251",2313,434.35,0
천천동 ,4111113300,41111133,"29,372","12,049",4237,434.35,1
탑동 ,4111313300,41113133,"19,589","9,001",4422,434.35,1
파장동 ,4111112900,41111129,"18,583","9,243",3677,434.35,1
팔달로1가 ,4111512000,41115120,368,291,106,434.35,0
팔달로2가 ,4111512100,41115121,231,170,831,434.35,0
팔달로3가 ,4111512200,41115122,390,258,566,434.35,0
평동 ,4111312700,41113127,"2,348","1,208",227,434.35,0
하광교동 ,4111113900,41111139,495,309,180,434.35,0
하동 ,4111710400,41117104,"28,520","11,710",2235,434.35,4
호매실동 ,4111313500,41113135,"44,254","17,221",5334,434.35,0
화서동 ,4111513800,41115138,"45,287","19,296",13630,434.35,0
고기동 ,4146510400,41465104,"3,899","1,629",178,459.05,1
고림동 ,4146110600,41461106,"34,765","13,259",1239,459.05,1
고매동 ,4146310800,41463108,"4,790","2,093",1167,459.05,1
공세동 ,4146310700,41463107,"16,213","7,017",1677,459.05,0
구갈동 ,4146310200,41463102,"40,376","18,062",12051,459.05,2
김량장동 ,4146110100,41461101,"21,750","10,634",6214,459.05,2
남동 ,4146110400,41461104,"4,946","2,774",600,459.05,0
남사읍 ,4146125900,41461259,"23,616","9,977",413,459.05,1
농서동 ,4146310900,41463109,"3,895","2,844",452,459.05,1
동백동 ,4146311500,41463115,"37,749","13,720",5742,459.05,0
동천동 ,4146510300,41465103,"46,728","17,870",9583,459.05,1
마북동 ,4146311300,41463113,"33,429","13,083",7150,459.05,1
마평동 ,4146110700,41461107,"10,209","4,951",910,459.05,1
모현읍 ,4146125300,41461253,"25,899","12,229",2843,459.05,0
백암면 ,4146135000,41461350,"8,172",4359,455,459.05,0
보라동 ,4146310500,41463105,"28,563","10,849",3340,459.05,2
보정동 ,4146311800,41463118,"34,638","12,953",7003,459.05,3
삼가동 ,4146110300,41461103,"12,061","4,769",3095,459.05,1
상갈동 ,4146310300,41463103,"12,618","6,120",4080,459.05,0
상하동 ,4146311700,41463117,"23,259","9,161",5226,459.05,2
상현동 ,4146510700,41465107,"80,440","29,168",12823,459.05,1
서천동 ,4146311000,41463110,"21,116","8,411",1376,459.05,0
성복동 ,4146510600,41465106,"54,611","18,777",15602,459.05,1
신갈동 ,4146310100,41463101,"36,707","16,041",7307,459.05,2
신봉동 ,4146510500,41465105,"41,319","14,774",5451,459.05,1
양지면 ,4146136000,41461360,"20,119","9,723",1264,459.05,0
언남동 ,4146311200,41463112,"23,368","8,820",2170,459.05,1
역북동 ,4146110200,41461102,"34,867","15,694",4187,459.05,1
영덕동 ,4146311100,41463111,"48,435","19,447",6952,459.05,2
운학동 ,4146110800,41461108,"1,235",593,65,459.05,0
원삼면 ,4146134000,41461340,"8,269","4,519",359,459.05,0
유방동 ,4146110500,41461105,"15,455","7,346",3312,459.05,0
이동읍 ,4146125600,41461256,"19,511","9,034",1489,459.05,0
죽전동 ,4146510200,41465102,"72,302","29,112",17041,459.05,5
중동 ,4146311600,41463116,"46,999","17,415",5448,459.05,2
지곡동 ,4146310600,41463106,"4,102","1,601",552,459.05,0
청덕동 ,4146311400,41463114,"15,443","6,491",1975,459.05,0
포곡읍 ,4146125000,41461250,"31,543","14,163",6357,459.05,1
풍덕천동 ,4146510100,41465101,"76,113","31,115",18895,459.05,2
하갈동 ,4146310400,41463104,"4,968","2,192",609,459.05,1
해곡동 ,4146111000,41461110,208,109,23,459.05,0
호동 ,4146110900,41461109,638,301,2,459.05,0