,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
0,오산시실버케어센터,1291,경기도 오산시 발안로 1353-11,경기도 오산시 누읍동 561,37.142466161,127.04654906
1,오산빌리지 경로당,85,경기도 오산시 가수로 33,경기도 오산시 가수동 33 늘푸른오스카빌아파트 114동 1002호,37.1468082004,127.0458249833
2,엘지아파트경로당,42,,경기도 오산시 고현동 37 오산빌리지,37.1348643723,127.0825775672
3,학대피해아동쉼터(여아),50,경기도 오산시 남부대로 464-51,경기도 오산시 청호동 37-3 203동 105호,37.1317821436,127.0827521149
4,학대피해아동쉼터(여아),133,경기도 오산시 청호로 23-22,경기도 오산시 청호동 333 103동 102호,37.1297432372,127.0822679547
5,시립예일어린이집,133,,경기도 오산시 청호동 333,37.1305558447,127.082646266
6,시립푸른숲어린이집,902,,경기도 오산시 갈곶동 106,37.13514216,127.0670388286
7,학대피해아동쉼터(남아),123,경기도 오산시 경기대로 52-21,경기도 오산시 갈곶동 715 104동 105호,37.1294530729,127.0741862997
8,오산시보건소,4342,,경기도 오산시 오산동 25-0,37.159393162,127.0778589217
9,오산종합사회복지관,1474,,경기도 오산시 오산동 25,37.159393162,127.0778589217
10,오산시청,979,경기도 오산시 성호대로 83,경기도 오산시 오산동 871-1,37.1492260955,127.0705733104
11,오산시청사 별관,23837,경기도 오산시 성호대로 141,경기도 오산시 오산동 915,37.1490352115,127.0776575014
12,공용화장실,4300,경기도 오산시 성호대로 141,경기도 오산시 오산동 915,37.1490352115,127.0776575014
13,중앙도서관,61,경기도 오산시 운천로 154,경기도 오산시 오산동 920-1,37.1560167234,127.0764136419
14,직장보육시설,6459,경기도 오산시 운암로 85,경기도 오산시 오산동 920-3,37.1538822281,127.0769323226
15,오산고용복지플러스센터,6462,,경기도 오산시 오산동 34-5,37.1595157022,127.0768333561
16,오산종합운동장,3039,,경기도 오산시 오산동 34-5,37.1595157022,127.0768333561
17,오산스포츠센터,5328,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,37.1568594226,127.0726136232
18,웃말 카네이션하우스,27235,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,37.1568594226,127.0726136232
19,오색시장 제2주차장,295,경기도 오산시 경기동로8번길 24-13,경기도 오산시 오산동 79-5,37.1562636703,127.0748918968
20,오산문화스포츠센터,243,경기도 오산시 시장58번길 1,경기도 오산시 오산동 324-9 외 1,37.1541710742,127.069531796
21,오산천 공영주차장,13094,경기도 오산시 오산천로 271,경기도 오산시 오산동 345,37.1562601917,127.0714232264
22,오산장터 커뮤니티센터,4272,경기도 오산시 오산천로 265,경기도 오산시 오산동 345-2,37.1557414209,127.0700522026
23,남촌애온행복커뮤니티센터,3162,경기도 오산시 역광장로 59,경기도 오산시 오산동 603-3,37.1458325081,127.0669215967
24,남촌마을 주민공동시설,162,경기도 오산시 성호대로28번길 15-3,경기도 오산시 오산동 609-10,37.1481231036,127.0647352069
25,하수종말처리장공중화장실,63,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
26,하수종말처리장수위동,21,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
27,하수종말처리장유입펌프장,1926,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
28,하수종말처리장폐수처리창고,3979,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
29,하수종말처리장전처리동,279,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
30,하수종말처리장 전기실동,111,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
31,하수종말처리장 약품실동,429,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
32,하수종말처리장 실험실,888,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
33,반려동물테마파크,2935,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
34,환경사업소주차장,881,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,37.1404782493,127.0645822452
35,나눔목공소,246,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1,37.1381716074,127.0645015893
36,오산하수처리장 침사지 및 유입펌프장계단실,1711,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1,37.1381716074,127.0645015893
37,오산하수처리장 배드민턴동,636,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1,37.1381716074,127.0645015893
38,캠핑장 관리사무실,1526,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1,37.1381716074,127.0645015893
39,중앙동주민센터 비동,881,경기도 오산시 오산로278번길 3,경기도 오산시 오산동 843-9,37.1519332018,127.0688800632
40,장애아재활치료교육센터,3296,경기도 오산시 경기대로 307,경기도 오산시 오산동 850-1,37.1523273572,127.0731796787
41,다문화가족지원센터,78,경기도 오산시 오산로272번길 22,경기도 오산시 오산동 862,37.150930792,127.0708564619
42,햇살마루도서관,187,경기도 오산시 부산동길 74-6,경기도 오산시 부산동 503-2,37.1521068118,127.0898590031
43,대원동사무소 부속동창고,2048,,경기도 오산시 원동 404-8,37.1386115648,127.071714212
44,오산남부종합사회복지관,27,,경기도 오산시 원동 404-8,37.1386115648,127.071714212
45,소리울도서관,7564,경기도 오산시 오산로132번길 28-5,경기도 오산시 원동 404-10,37.1384786317,127.0723454846
46,소리울도서관,2356,경기도 오산시 경기대로 102-25,경기도 오산시 원동 481-17,37.1325564683,127.0748894526
47,주민편의시설(철근콘크리트조),3000,경기도 오산시 경기대로 102-25,경기도 오산시 원동 481-17,37.1325564683,127.0748894526
48,시립오산어린이집,473,경기도 오산시 남부대로362번길 22,경기도 오산시 원동 528-5,37.1341208446,127.0762655208
49,원동시립경로당,659,경기도 오산시 오산로226번길 25,경기도 오산시 원동 760-5,37.1471188696,127.071148256
50,원동 어울림(복개천) 공영주차장,175,경기도 오산시 오산로232번길 24,경기도 오산시 원동 760-11,37.1472442906,127.0709335957
51,오산시 아동보호전문기관,128,경기도 오산시 원동로37번길 15,경기도 오산시 원동 784-20,37.1437584151,127.0716514142
52,시립비둘기어린이집,346,경기도 오산시 경기대로 105,경기도 오산시 원동 806-5 로얄프라자,37.1340798954,127.0723927591
53,자원봉사센터,5506,경기도 오산시 운암로 13-6,경기도 오산시 원동 812-5,37.1472160857,127.0756181807
54,신장빗물펌프장,227,경기도 오산시 오산로 371-3,경기도 오산시 궐동 13-10,37.1598095004,127.0658507753
55,오산시 번호판 제작소,66,경기도 오산시 오산로 337-14,경기도 오산시 궐동 75-29,37.157081865,127.0668461756
56,궐동배수지 관리사,418,,경기도 오산시 궐동 94,37.1575891423,127.065063858
57,꿈빛나래청소년문화의집,642,,경기도 오산시 궐동 575,37.1601200944,127.0669752541
58,무단방치견인차 관리사무소,203,경기도 오산시 죽담4로 12-10,경기도 오산시 궐동 산 36-1,37.1676692423,127.048808946
59,청학도서관,866,경기도 오산시 청학로 53,경기도 오산시 청학동 12-1,37.153969879,127.0638120247
60,소방서,591,,경기도 오산시 청학동 16-6,37.154590555,127.0634593457
61,청학동경로당,2286,,경기도 오산시 청학동 16-6,37.154590555,127.0634593457
62,오산시불법옥외광고물관리사무소,1735,경기도 오산시 가장산업동로 69-21,경기도 오산시 가장동 5-2,37.1652557263,127.042346894
63,시립보듬이나눔이어린이집,75,경기도 오산시 가장산업동로 62,경기도 오산시 가장동 16-23,37.162561138,127.0425095579
64,(재)대한화장품연구원,3473,경기도 오산시 가장산업동로 46,경기도 오산시 가장동 375-6,37.1624458264,127.0406631398
65,신장동행정복지센터및건강생활지원센터,450,경기도 오산시 서부로 483-9,경기도 오산시 금암동 298,37.1708756859,127.0410964767
66,죽미다목적체육관,75,,경기도 오산시 금암동 497,37.1774997539,127.0503339541
67,시립오산숲어린이집,5241,경기도 오산시 수청로 192,경기도 오산시 금암동 512,37.177749844,127.0448399923
68,신장 전천후 게이트볼장,21,경기도 오산시 수목원로 449,경기도 오산시 금암동 520,37.1723572372,127.0489838313
69,공원관리사,391,,경기도 오산시 금암동 521,37.1742471114,127.0500278985
70,화성국민주택 경로당,86,경기도 오산시 현충로 5-8,경기도 오산시 수청동 69-37,37.1639684,127.069250978
71,시립매홀어린이집,76,경기도 오산시 청학로173번길 36,경기도 오산시 수청동 522,37.1638450422,127.0602074072
72,오산시U-City통합운영센터,145,경기도 오산시 오산대역로 99,경기도 오산시 수청동 582,37.1704880184,127.052869785
73,시립 은여울어린이집,1098,경기도 오산시 내삼미로80번길 7,경기도 오산시 수청동 624-1,37.1697467554,127.0668640104
74,문화공장 오산,260,경기도 오산시 내삼미로80번길 7,경기도 오산시 수청동 624-1외 1필지(624),37.1697467554,127.0668640104
75,은계동시립경로당,3173,경기도 오산시 현충로 100,경기도 오산시 은계동 7-7,37.1602557297,127.0770770077
76,은계배수지관리사,150,경기도 오산시 현충로72번길 20-5,경기도 오산시 은계동 39-6,37.1608819922,127.0732442122
77,공중화장실(필봉산등산로),79,경기도 오산시 현충로 37,경기도 오산시 은계동 50-5,37.1640279602,127.0712214074
78,방범 및 관리사무소,16,경기도 오산시 현충로 46,경기도 오산시 은계동 53,37.1626351597,127.0719729085
79,미니어처 전시관,4100,,경기도 오산시 내삼미동 251-3,37.1777462567,127.0630810944
80,드라마세트장 관광안내소,3522,,경기도 오산시 내삼미동 263-1,37.1766382084,127.062618538
81,어서오산 휴센터,95,경기도 오산시 북삼미로 42,경기도 오산시 내삼미동 269-4,37.1801072377,127.0628506669
82,오산시니어클럽,714,경기도 오산시 경기대로636번길 13,경기도 오산시 내삼미동 496-2 오산시니어클럽,37.1792651749,127.0569862515
83,공중화장실,1059,,경기도 오산시 내삼미동 879,37.1742490627,127.0534446487
84,시립한신어린이집,2864,,경기도 오산시 외삼미동 640 외 1,,
85,오산시육아종합지원센터,38,경기도 오산시 양산로398번길 58-5,경기도 오산시 양산동 666,37.1909914298,127.0332342581
86,세마동주민자치센터 신축,391,,경기도 오산시 세교동 506,37.1845782651,127.0367662394
87,시외버스 매표소,2041,경기도 오산시 독산성로 419,경기도 오산시 세교동 595-2,37.188316862,127.0408219585
88,꿈두레도서관,566,경기도 오산시 세마역로 60,경기도 오산시 세교동 603-2,37.184609874,127.0449227569
89,죽미체육공원 3:3 농구장,75,,경기도 오산시 세교동 619,37.1805832346,127.0452796888
90,죽미체육공원 3:3 농구장 관리동,1483,,경기도 오산시 세교동 619,37.1805832346,127.0452796888
91,세마하수종말처리장,2962,경기도 오산시 수목원로 541,경기도 오산시 세교동 627,37.1794069937,127.0421263532
92,신동아2차 아파트,5959,경기도 오산시 양산로 43,경기도 오산시 서랑동 295,37.1766081882,127.0006974623
93,오산시 하나울복지센터,2131,경기도 오산시 서녘말길 21,경기도 오산시 서동 492,37.1497158422,127.0309318209
94,운동시설(테니스장/관리실),110,경기도 오산시 송로 44,경기도 오산시 서동 산 12-13,37.150200804,127.049047883
95,시립두곡동경로당,4810,경기도 오산시 초평중앙로 77,경기도 오산시 벌음동 277,37.140185322,127.0441306038
96,공중화장실(두곡교 뒤 다리중간),1473,,경기도 오산시 두곡동 산 21,37.1306757129,127.0411217623
97,임시버스공영차고지 나동,14,,경기도 오산시 탑동 88-1,37.1345902411,127.0544261852
98,자원재활용센타재활용동,360,,경기도 오산시 탑동 187-1,37.1351423195,127.0484730495
99,자원재활용센타 관리동,328,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.1331372968,127.0586964093
100,음식물쓰레기자원화시설,269,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.1331372968,127.0586964093
101,학대피해아동쉼터(남아),900,경기도 오산시 동부대로 291-26,경기도 오산시 갈곶동 302-23,37.1273167349,127.0767087335
102,고림동 작은도서관 및 마을회관(1 7 10통),251.16,경기도 용인시 처인구 진덕로 7,경기도 용인시 처인구 고림동 803-1,37.2363739573,127.2174633309
103,고진복지회관(고림5 8통마을회관),175.34,경기도 용인시 처인구 고진로 31-10,경기도 용인시 처인구 고림동 794-40,37.2396773014,127.2154554283
104,구갈희망누리도서관,221.6,경기도 용인시 기흥구 갈곡로12번길 1,경기도 용인시 기흥구 구갈동 598 2층,37.272737442,127.129562938
105,구성동사무소,3102.78,,경기도 용인시 기흥구 언남동 342-1,37.296294493,127.1193380237
106,기흥구청,11119.49,경기도 용인시 기흥구 관곡로 95,경기도 용인시 기흥구 구갈동 355,37.2804510231,127.114702591
107,기흥노인복지관,3459.14,경기도 용인시 기흥구 산양로 71,경기도 용인시 기흥구 신갈동 720,37.2878686917,127.1116977163
108,기흥동행정복지센터,3568.76,경기도 용인시 기흥구 고매로43번길 12-14,경기도 용인시 기흥구 공세동 191-3,37.2315257928,127.1155266202
109,남사도서관,3382.28,경기도 용인시 처인구 남사읍 한숲로 61,경기도 용인시 처인구 남사읍 아곡리 681-1,37.1537827514,127.1705282936
110,노동복지회관,1841.06,경기도 용인시 처인구 중부대로 1356,경기도 용인시 처인구 김량장동 407,37.2340287368,127.1950263799
111,동부동행정복지센터,3255.35,경기도 용인시 처인구 중부대로 1574,경기도 용인시 처인구 마평동 533-8,37.2327634071,127.2191790873
112,마북동주민센터,4375.92,경기도 용인시 기흥구 구교동로118번길 16,경기도 용인시 기흥구 마북동 162-4,37.3016066897,127.1174720189
113,모현도서관,2728.27,경기도 용인시 처인구 모현읍 백옥대로 2378,경기도 용인시 처인구 모현읍 왕산리 804-3,37.3357172035,127.2496371898
114,문화복지행정타운(문화예술원),7171.45,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.2401717248,127.1763197994
115,문화복지행정타운(보건소),6731.75,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.2401717248,127.1763197994
116,문화복지행정타운(복지센터),14877.69,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.2401717248,127.1763197994
117,문화복지행정타운(본청사),43991.95,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.2401717248,127.1763197994
118,문화복지행정타운(의회청사),6521.18,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.2401717248,127.1763197994
119,백암작은도서관(나동),416.49,,경기도 용인시 처인구 백암면 백암리 495-3,37.1633966837,127.3753735896
120,보라공공도서관,4360.04,경기도 용인시 기흥구 한보라2로 116,경기도 용인시 기흥구 보라동 619,37.2484147849,127.1090249576
121,상갈동 행정복지센터,3049.74,경기도 용인시 기흥구 상갈로 2,경기도 용인시 기흥구 상갈동 472,37.2665825552,127.1076904244
122,상현1동사무소,2166.9,경기도 용인시 수지구 상현로 71,경기도 용인시 수지구 상현동 839,37.3046295504,127.0811445401
123,서구복지회관,408.24,경기도 용인시 처인구 중부대로1408번길 5-14,경기도 용인시 처인구 김량장동 351-21,37.2321179695,127.2021926191
124,성복도서관,2592.83,경기도 용인시 수지구 성복1로164번길 6,경기도 용인시 수지구 성복동 461-0,37.3169135772,127.0631656554
125,수지구문화복지종합청사,37569.99,경기도 용인시 수지구 포은대로 435,경기도 용인시 수지구 풍덕천동 720,37.3222450318,127.097401236
126,수지도서관,3834.18,,경기도 용인시 수지구 풍덕천동 1088,37.3202797699,127.0946916926
127,양지면사무소,2203.26,경기도 용인시 처인구 양지면 양지로105번길 5,경기도 용인시 처인구 양지면 양지리 701-9,37.2354877465,127.2798333574
128,영덕동주민센터,3806.68,경기도 용인시 기흥구 흥덕2로118번길 2,경기도 용인시 기흥구 영덕동 1208,37.2778255436,127.0745137864
129,용인시기흥장애인복지관,3245.03,경기도 용인시 기흥구 용구대로2469번길 94,경기도 용인시 기흥구 보정동 1097-8,37.3154318836,127.105834132
130,용인시립도서관,724.37,경기도 용인시 처인구 명지로 27,경기도 용인시 처인구 역북동 504-1,37.2334838006,127.189978048
131,용인죽전공공도서관,4964.58,경기도 용인시 수지구 대지로 89,경기도 용인시 수지구 죽전동 1212,37.3304098735,127.1186467213
132,원삼면사무소,2536.08,경기도 용인시 처인구 원삼면 원양로 64,경기도 용인시 처인구 원삼면 고당리 88-1,37.1665691838,127.3132497187
133,이동꿈틀도서관,792.48,경기도 용인시 처인구 이동읍 경기동로705번길 16,경기도 용인시 처인구 이동읍 송전리 1228-1,37.1391131773,127.1997427053
134,죽전1동 동사무소,2345.18,경기도 용인시 수지구 대지로15번길 50,경기도 용인시 수지구 죽전동 1070-9,37.3310797251,127.1139587986
135,중앙동 행정복지센터,4469.57,경기도 용인시 처인구 금령로90번길 3-20,경기도 용인시 처인구 김량장동 89,37.234944002,127.2076718042
136,처인구청B동,3674.74,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 339-1,37.2343602006,127.2012931829
137,처인구청D동,1358.4,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 339-1,37.2343602006,127.2012931829
138,처인구청G동,49.4,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 339-1,37.2343602006,127.2012931829
139,처인구청H동,1499.65,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 286-3,37.2343602006,127.2012931829
140,청덕도서관,1980.83,경기도 용인시 기흥구 구성1로 44,경기도 용인시 기흥구 청덕동 549,37.2927939851,127.1474373646
141,초부3리복지회관신축,205.48,경기도 용인시 처인구 모현읍 초부로 137,경기도 용인시 처인구 모현읍 초부리 159-2,37.3148454801,127.2561053914
142,포곡도서관,2733.38,경기도 용인시 처인구 포곡읍 포곡로278번길 8,경기도 용인시 처인구 포곡읍 삼계리 556-2,37.2789010985,127.2325779466
143,풍덕천1동주민센터,1985.57,경기도 용인시 수지구 수지로342번길 3,경기도 용인시 수지구 풍덕천동 701-1,37.3279697009,127.0950115914
144,하갈동마을복지회관,668.69,경기도 용인시 기흥구 하갈로 35,경기도 용인시 기흥구 하갈동 149-1,37.2533094412,127.1009370234
145,시립부산동경로당,130,경기도 오산시 운암로 64,경기도 오산시 오산동 923-2 대동황토방아파트 109동 101호,37.1509733323,127.0776805065
146,대원동행정복지센터,999,,경기도 오산시 원동 404-8,37.1386115648,127.071714212
147,원3·6통 경로당,5608,경기도 오산시 오산로190번길 31-1,경기도 오산시 원동 772-16,37.1442647016,127.0720651866
148,오산시 아동보호전문기관,213,경기도 오산시 경기대로 105,경기도 오산시 원동 806-5 503호,37.1340798954,127.0723927591
149,운암공영주차장,5506,경기도 오산시 운암로 13-6,경기도 오산시 원동 812-5,37.1472160857,127.0756181807
150,원동공원내공중화장실,3820,경기도 오산시 운암로 7,경기도 오산시 원동 813-11,37.1470189876,127.0759571003
151,신흥연립 경로당,387,경기도 오산시 은여울로17번길 8,경기도 오산시 궐동 55-1,37.1579297223,127.0694654369
152,시립 신장삼안 경로당,54,경기도 오산시 은여울로17번길 8,경기도 오산시 궐동 55-11 신흥연립 109호,37.1579297223,127.0694654369
153,신장동복지회관,50,경기도 오산시 청학로147번길 29-8,경기도 오산시 궐동 130-15,37.1621957534,127.0600290269
154,오산에어돔 배드민턴구장,1047,경기도 오산시 청학로 125,경기도 오산시 궐동 585-2,37.1600819028,127.0639345851
155,오산메이커교육센터,866,경기도 오산시 청학로 53,경기도 오산시 청학동 12-1,37.153969879,127.0638120247
156,남촌동행정복지센터,1715,경기도 오산시 청학로 65,경기도 오산시 청학동 16-5,37.1549364408,127.0643695613
157,세교2 테니스장 관리동,174,경기도 오산시 청학로17번길 5-11,경기도 오산시 청학동 41-9,37.1507609556,127.061398046
158,불법옥외광고물관리사무소,75,경기도 오산시 가장산업동로 62,경기도 오산시 가장동 16-23,37.162561138,127.0425095579
159,근로자종합복지관,1197,경기도 오산시 가장산업동로 42,경기도 오산시 가장동 375-5,37.1624437298,127.0401225341
160,도로정비센터(제설전지기지) 제설창고,2477,경기도 오산시 가장산업서북로 40-44,경기도 오산시 가장동 387-1,37.1671212465,127.0352959095
161,공중화장실,2877,경기도 오산시 문헌공로 45,경기도 오산시 금암동 495-2,37.1766420254,127.0545683293
162,오산세교종합복지관,1843,경기도 오산시 수청로 204-26,경기도 오산시 금암동 508,37.17916992,127.0437612624
163,공중화장실,1100,경기도 오산시 수목원로 449,경기도 오산시 금암동 520,37.1723572372,127.0489838313
164,신장18통경로당,142,,경기도 오산시 수청동 산 32-8번지,37.1619207871,127.068979121
165,수청2동경로당,50,경기도 오산시 청학로173번길 6,경기도 오산시 수청동 370 화성국민주택 가동 104호,37.1647211265,127.0631082446
166,공중화장실,668,경기도 오산시 수청로 22,경기도 오산시 수청동 557,37.1720337432,127.0588307634
167,오산시보조기기수리센터,72,경기도 오산시 현충로 46,경기도 오산시 은계동 53,37.1626351597,127.0719729085
168,드라마세트장,240,경기도 오산시 북삼미로 40,경기도 오산시 내삼미동 268,37.1797176441,127.0623121699
169,드라마세트장,471,경기도 오산시 북삼미로 42,경기도 오산시 내삼미동 269-4,37.1801072377,127.0628506669
170,시립수청어린이집,284,경기도 오산시 경기대로636번길 13,경기도 오산시 내삼미동 496-2,37.1792651749,127.0569862515
171,자활작업장 화장실,75,,경기도 오산시 내삼미동 879,37.1742490627,127.0534446487
172,양산도서관,598,경기도 오산시 양산로410번길 30,경기도 오산시 양산동 670-2,37.1945282206,127.0317814949
173,세마 전천후게이트볼장,2185,경기도 오산시 양산로410번길 34,경기도 오산시 양산동 670-3,37.1942955079,127.0321998336
174,시립세마어린이집,53,,경기도 오산시 세교동 599-1,37.1867744608,127.0421748561
175,공중화장실,5277,경기도 오산시 세마역로 20,경기도 오산시 세교동 618,37.1815652629,127.0454817775
176,유아용화장실,70,,경기도 오산시 세교동 619,37.1805832346,127.0452796888
177,죽미체육공원 실내테니스장,18,경기도 오산시 세마역로 54,경기도 오산시 세교동 620,37.184124985,127.0454101086
178,보육타운,85,경기도 오산시 초평로 84-4,경기도 오산시 서동 125-8 203동 102호,37.1438800791,127.0438607081
179,초평배수지 관리실,1993,경기도 오산시 서녘말길 21,경기도 오산시 서동 492-1 오산시 하나울복지센터,37.1497158422,127.0309318209
180,초평동사무소(신축),110,경기도 오산시 송로 44,경기도 오산시 서동 산 12-13,37.150200804,127.049047883
181,오산시 버스공영차고지,187,경기도 오산시 두곡로 48,경기도 오산시 두곡동 123-1,37.1301678297,127.0457555758
182,임시버스공영차고지 가동,204,,경기도 오산시 탑동 187-1,37.1351423195,127.0484730495
183,자원재활용센타적환동,990,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.1331372968,127.0586964093
184,자원재활용센타 청소차량주차장,695,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.1331372968,127.0586964093
185,초평도서관,2087,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 197-4,37.1331372968,127.0586964093
186,고매동복지회관,732.71,경기도 용인시 기흥구 동탄기흥로 713-1,경기도 용인시 기흥구 고매동 692-1,37.2229501389,127.0982339701
187,구갈동사무소,3706.83,경기도 용인시 기흥구 강남로 23,경기도 용인시 기흥구 구갈동 578-0,37.2724067514,127.1275906845
188,구성도서관,2775.04,,경기도 용인시 기흥구 언남동 342-1,37.296294493,127.1193380237
189,기흥구보건소 및 신갈동주민센터,11496.86,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.2725644668,127.1066780887
190,기흥구청 별관,1296.72,경기도 용인시 기흥구 관곡로 95,경기도 용인시 기흥구 구갈동 355,37.2804510231,127.114702591
191,기흥도서관,6606.71,경기도 용인시 기흥구 기흥로116번길 10,경기도 용인시 기흥구 신갈동 산 14,37.286189095,127.1135339223
192,나눔숲복지센터,188.5,경기도 용인시 처인구 모현읍 초부로 196-9,경기도 용인시 처인구 모현읍 초부리 273,37.3132782636,127.2656240633
193,남사면사무소,2679.61,경기도 용인시 처인구 남사읍 내기로 22,경기도 용인시 처인구 남사읍 봉무리 438-1,37.1156765351,127.1505002182
194,동백동주민센터 및 주민자치센터,5440.05,경기도 용인시 기흥구 동백중앙로 214,경기도 용인시 기흥구 중동 866-1,37.2725250584,127.1516488488
